Moscow,Москва,Moscow,"11,514,330",Russia
Saint Petersburg,Санкт-Петербург,Saint Petersburg,"4,848,742",Russia
Novosibirsk,Новосибирск,Novosibirsk Oblast,"1,473,737",Russia
Yekaterinburg,Екатеринбург,Sverdlovsk Oblast,"1,350,136",Russia
Nizhny Novgorod,Нижний Новгород,Nizhny Novgorod Oblast,"1,250,615",Russia
Samara,Самара,Samara Oblast,"1,164,896",Russia
Omsk,Омск,Omsk Oblast,"1,153,971",Russia
Kazan,Казань,Republic of Tatarstan,"1,143,546",Russia
Chelyabinsk,Челябинск,Chelyabinsk Oblast,"1,130,273",Russia
Rostov-on-Don,Ростов-на-Дону,Rostov Oblast,"1,089,851",Russia
Ufa,Уфа,Republic of Bashkortostan,"1,062,300",Russia
Volgograd,Волгоград,Volgograd Oblast,"1,021,244",Russia
Perm,Пермь,Perm Krai,"991,53",Russia
Krasnoyarsk,Красноярск,Krasnoyarsk Krai,"973,891",Russia
Voronezh,Воронеж,Voronezh Oblast,"889,989",Russia
Saratov,Саратов,Saratov Oblast,"837,831",Russia
Krasnodar,Краснодар,Krasnodar Krai,"744,933",Russia
Tolyatti,Тольятти,Samara Oblast,"719,514",Russia
Izhevsk,Ижевск,Udmurt Republic,"628,116",Russia
Ulyanovsk,Ульяновск,Ulyanovsk Oblast,"613,793",Russia
Barnaul,Барнаул,Altai Krai,"612,091",Russia
Vladivostok,Владивосток,Primorsky Krai,"592,069",Russia
Yaroslavl,Ярославль,Yaroslavl Oblast,"591,486",Russia
Irkutsk,Иркутск,Irkutsk Oblast,"587,225",Russia
Tyumen,Тюмень,Tyumen Oblast,"581,758",Russia
Makhachkala,Махачкала,Republic of Dagestan,"577,99",Russia
Khabarovsk,Хабаровск,Khabarovsk Krai,"577,668",Russia
Novokuznetsk,Новокузнецк,Kemerovo Oblast,"547,885",Russia
Orenburg,Оренбург,Orenburg Oblast,"544,987",Russia
Kemerovo,Кемерово,Kemerovo Oblast,"532,884",Russia
Ryazan,Рязань,Ryazan Oblast,"525,062",Russia
Tomsk,Томск,Tomsk Oblast,"522,94",Russia
Astrakhan,Астрахань,Astrakhan Oblast,"520,662",Russia
Penza,Пенза,Penza Oblast,"517,137",Russia
Naberezhnye Chelny,Набережные Челны,Republic of Tatarstan,"513,242",Russia
Lipetsk,Липецк,Lipetsk Oblast,"508,124",Russia
Tula,Тула,Tula Oblast,"501,129",Russia
Kirov,Киров,Kirov Oblast,"473,668",Russia
Cheboksary,Чебоксары,Chuvash Republic,"453,645",Russia
Kaliningrad,Калининград,Kaliningrad Oblast,"431,491",Russia
Bryansk,Брянск,Bryansk Oblast,"415,64",Russia
Kursk,Курск,Kursk Oblast,"414,595",Russia
Ivanovo,Иваново,Ivanovo Oblast,"409,277",Russia
Magnitogorsk,Магнитогорск,Chelyabinsk Oblast,"408,401",Russia
Ulan-Ude,Улан-Удэ,Republic of Buryatia,"404,357",Russia
Tver,Тверь,Tver Oblast,"403,726",Russia
Stavropol,Ставрополь,Stavropol Krai,"398,266",Russia
Nizhny Tagil,Нижний Тагил,Sverdlovsk Oblast,"361,883",Russia
Belgorod,Белгород,Belgorod Oblast,"356,426",Russia
Arkhangelsk,Архангельск,Arkhangelsk Oblast,"348,716",Russia
Vladimir,Владимир,Vladimir Oblast,"345,598",Russia
Sochi,Сочи,Krasnodar Krai,"343,285",Russia
Kurgan,Курган,Kurgan Oblast,"333,64",Russia
Smolensk,Смоленск,Smolensk Oblast,"326,863",Russia
Kaluga,Калуга,Kaluga Oblast,"325,185",Russia
Chita,Чита,Zabaykalsky Krai,"323,964",Russia
Oryol,Орёл,Oryol Oblast,"317,854",Russia
Volzhsky,Волжский,Volgograd Oblast,"314,436",Russia
Cherepovets,Череповец,Vologda Oblast,"312,311",Russia
Vladikavkaz,Владикавказ,Republic of North Ossetia–Alania,"311,635",Russia
Murmansk,Мурманск,Murmansk Oblast,"307,664",Russia
Surgut,Сургут,Khanty–Mansi Autonomous Okrug,"306,703",Russia
Vologda,Вологда,Vologda Oblast,"301,642",Russia
Saransk,Саранск,Republic of Mordovia,"297,425",Russia
Tambov,Тамбов,Tambov Oblast,"280,457",Russia
Sterlitamak,Стерлитамак,Republic of Bashkortostan,"273,432",Russia
Grozny,Грозный,Chechen Republic,"271,596",Russia
Yakutsk,Якутск,Sakha Republic,"269,486",Russia
Kostroma,Кострома,Kostroma Oblast,"268,617",Russia
Komsomolsk-na-Amure,Комсомольск-на-Амуре,Khabarovsk Krai,"263,906",Russia
Petrozavodsk,Петрозаводск,Republic of Karelia,"263,54",Russia
Taganrog,Таганрог,Rostov Oblast,"257,692",Russia
Nizhnevartovsk,Нижневартовск,Khanty–Mansi Autonomous Okrug,"251,86",Russia
Yoshkar-Ola,Йошкар-Ола,Mari El Republic,"248,688",Russia
Bratsk,Братск,Irkutsk Oblast,"246,348",Russia
Novorossiysk,Новороссийск,Krasnodar Krai,"241,788",Russia
Dzerzhinsk,Дзержинск,Nizhny Novgorod Oblast,"240,762",Russia
